Code,Country,2000,2005,2010,2015,2018
AFG,Afghanistan,15,12,3,19,3
ALB,Albania,3,5,13,19,13
DZA,Algeria,8,5,12,5,18
ARG,Argentina,8,17,6,19,24
AUS,Australia,10,3,25,21,12
AUT,Austria,7,11,3,21,8
BGD,Bangladesh,5,21,7,4,23
BEL,Belgium,10,23,18,12,7
BRA,Brazil,16,19,9,12,21
CAN,Canada,6,25,9,21,16
CHL,Chile,23,16,6,9,8
CHN,China,19,4,14,19,18
COL,Colombia,7,20,10,22,3
HRV,Croatia,11,10,4,4,19
CUB,Cuba,8,15,11,13,25
CZE,Czech Republic,19,22,3,15,11
DNK,Denmark,4,9,13,25,22
EGY,Egypt,3,12,19,6,9
ETH,Ethiopia,16,13,22,24,4
FIN,Finland,5,12,8,12,21
FRA,France,4,11,19,21,18
DEU,Germany,20,18,22,24,23
GHA,Ghana,11,6,5,12,25
GRC,Greece,25,16,17,20,3
HUN,Hungary,12,21,18,18,25
IND,India,25,11,25,16,11
IDN,Indonesia,10,22,18,18,25
IRN,Iran,11,25,13,11,11
IRQ,Iraq,20,3,22,13,4
IRL,Ireland,11,12,5,23,22
ISR,Israel,12,15,3,18,19
ITA,Italy,5,20,12,5,12
JPN,Japan,8,16,22,9,25
KEN,Kenya,6,3,23,12,12
MYS,Malaysia,10,6,14,5,8
MEX,Mexico,14,12,7,25,20
MAR,Morocco,4,16,6,7,12
NPL,Nepal,16,17,25,23,18
NLD,Netherlands,24,7,16,19,20
NZL,New Zealand,18,25,22,25,8
NGA,Nigeria,7,6,9,12,16
NOR,Norway,10,24,6,16,23
PAK,Pakistan,12,6,20,16,14
PER,Peru,16,9,22,16,16
PHL,Philippines,25,8,14,19,3
POL,Poland,3,8,24,10,24
PRT,Portugal,7,18,21,7,11
ROU,Romania,16,21,11,21,14
RUS,Russia,25,16,9,12,10
SAU,Saudi Arabia,4,22,3,17,8
KOR,South Korea,4,14,20,13,6
ESP,Spain,17,7,9,20,13
LKA,Sri Lanka,15,21,12,16,22
SWE,Sweden,5,7,6,14,25
CHE,Switzerland,12,5,16,11,16
SYR,Syria,24,16,16,12,21
TWN,Taiwan,6,5,25,25,23
TZA,Tanzania,14,10,3,8,20
THA,Thailand,23,16,10,22,15
TUN,Tunisia,6,22,15,18,6
TUR,Turkey,21,11,15,25,4
UGA,Uganda,13,16,20,5,11
UKR,Ukraine,11,19,24,22,10
ARE,United Arab Emirates,8,9,3,20,23
GBR,United Kingdom,9,13,7,24,25
USA,United States,25,18,8,14,21
URY,Uruguay,17,24,16,15,11
VEN,Venezuela,23,14,24,16,9
VNM,Vietnam,25,7,22,10,17
YEM,Yemen,11,22,11,25,19
ZMB,Zambia,3,18,8,23,21
ZWE,Zimbabwe,8,21,15,13,7
ECU,Ecuador,25,22,12,21,22
SLV,El Salvador,13,20,8,6,14
EST,Estonia,11,9,14,13,22
